"EntityLogicalName","AttributeLogicalName","DisplayName","Type","RequiredLevel","IsCustomField","IsAuditEnabled","IsSecured","OptionSetName","OptionCount","IntroducedVersion"
"sharepointdocumentlocation","tema_litogl_tp_campaniasanalitica","Lito-Gl-Campaña-Analitica","lookup","none","1","0","0",,,"1.0.0.0"
"systemuser","tema_litogl_es_op_perfil_usuario","Lito-Gl_es_op_perfil_usuario","picklist","none","1","1","0","tema_litoglperfilusuario","6","1.0.0.0"
"systemuser","tema_litogl_te_op_habilitarenapp","Lito-GL_te_op_HabilitarEnApp","bit","none","1","1","0","tema_systemuser_tema_litogl_te_op_habilitarenapp","2","1.0.0.5"
"team","name","Nombre del equipo","nvarchar","systemrequired","0","1","0",,,"5.0.0.0"
"team","tema_litogl_te_bu_campania","Lito-GL_te_bu_Campania","lookup","none","1","0","0",,,"1.0.0.8"
"team","tema_litogl_te_bu_proyecto","Lito-GL_te_bu_ Proyecto","lookup","none","1","0","0",,,"1.0.0.5"
"team","tema_litogl_te_op_rolcampania","Lito-GL_te_op_RolCampania","picklist","none","1","1","0","tema_litogl_op_rolescampania","1","1.0.0.8"
"team","tema_litogl_te_op_roltecnico","Lito-GL_te_op_RolTecnico","picklist","none","1","1","0","tema_litogl_op_rolesproyecto","3","1.0.0.5"
"tema_lito_gl_fp_campana","activestageid","Fase activa","lookup","none","0","1","0",,,"1.0"
"tema_lito_gl_fp_campana","activestagestartedon","Inicio de la fase activa","datetime","none","0","1","0",,,"1.0"
"tema_lito_gl_fp_campana","bpf_duration","Duración","int","none","1","0","0",,,"1.0"
"tema_lito_gl_fp_campana","bpf_name","Nombre","nvarchar","required","1","1","0",,,"1.0"
"tema_lito_gl_fp_campana","bpf_tema_litogl_tp_campaniasanaliticaid","Tema_Litogl_Tp_Campaniasanalitica","lookup","none","1","0","0",,,"1.0"
"tema_lito_gl_fp_campana","bpf_tema_litoglcampanaejecucionid","Tema_Litoglcampanaejecucion","lookup","none","1","0","0",,,"1.0"
"tema_lito_gl_fp_campana","bpf_tema_litoglcampanaprovisionesid","Tema_Litoglcampanaprovisiones","lookup","none","1","0","0",,,"1.0"
"tema_lito_gl_fp_campana","bpf_tema_litoglcampanarecepcionmuestraid","Tema_Litoglcampanarecepcionmuestra","lookup","none","1","0","0",,,"1.0"
"tema_lito_gl_fp_campana","bpf_tema_litoglcampanasolicitudid","Tema_Litoglcampanasolicitud","lookup","none","1","0","0",,,"1.0"
"tema_lito_gl_fp_campana","businessprocessflowinstanceid","Lito_GL_fp_campaña","primarykey","systemrequired","0","0","0",,,"1.0"
"tema_lito_gl_fp_campana","completedon","Finalización","datetime","none","0","1","0",,,"1.0"
"tema_lito_gl_fp_campana","createdby","Autor","lookup","none","0","0","0",,,"1.0"
"tema_lito_gl_fp_campana","createdon","Fecha de creación","datetime","none","0","0","0",,,"1.0"
"tema_lito_gl_fp_campana","createdonbehalfby","Autor (delegado)","lookup","none","0","0","0",,,"1.0"
"tema_lito_gl_fp_campana","importsequencenumber","Número de secuencia de importación","int","none","0","1","0",,,"1.0"
"tema_lito_gl_fp_campana","modifiedby","Modificado por","lookup","none","0","0","0",,,"1.0"
"tema_lito_gl_fp_campana","modifiedon","Fecha de modificación","datetime","none","0","0","0",,,"1.0"
"tema_lito_gl_fp_campana","modifiedonbehalfby","Modificado por (delegado)","lookup","none","0","0","0",,,"1.0"
"tema_lito_gl_fp_campana","organizationid","Id. de la organización","lookup","none","0","1","0",,,"1.0"
"tema_lito_gl_fp_campana","overriddencreatedon","Fecha de creación del registro","datetime","none","0","1","0",,,"1.0"
"tema_lito_gl_fp_campana","processid","Proceso","lookup","none","0","1","0",,,"1.0"
"tema_lito_gl_fp_campana","statecode","Estado","state","systemrequired","0","1","0","tema_lito_gl_fp_campana_statecode","2","1.0"
"tema_lito_gl_fp_campana","statuscode","Razón para el estado","status","none","0","1","0","tema_lito_gl_fp_campana_statuscode","3","1.0"
"tema_lito_gl_fp_campana","timezoneruleversionnumber","Número de versión de regla de zona horaria","int","none","0","0","0",,,"1.0"
"tema_lito_gl_fp_campana","traversedpath","Ruta recorrida","nvarchar","none","0","1","0",,,"1.0"
"tema_lito_gl_fp_campana","utcconversiontimezonecode","Código de zona horaria de conversión UTC","int","none","0","0","0",,,"1.0"
"tema_lito_gl_matriz","createdby","Autor","lookup","none","0","0","0",,,"1.0"
"tema_lito_gl_matriz","createdon","Fecha de creación","datetime","none","0","0","0",,,"1.0"
"tema_lito_gl_matriz","createdonbehalfby","Autor (delegado)","lookup","none","0","0","0",,,"1.0"
"tema_lito_gl_matriz","importsequencenumber","Número de secuencia de importación","int","none","0","1","0",,,"1.0"
"tema_lito_gl_matriz","modifiedby","Modificado por","lookup","none","0","0","0",,,"1.0"
"tema_lito_gl_matriz","modifiedon","Fecha de modificación","datetime","none","0","0","0",,,"1.0"
"tema_lito_gl_matriz","modifiedonbehalfby","Modificado por (delegado)","lookup","none","0","0","0",,,"1.0"
"tema_lito_gl_matriz","overriddencreatedon","Fecha de creación del registro","datetime","none","0","1","0",,,"1.0"
