"EntityLogicalName","EntityDisplayName","EntitySetName","Ownership","AttributesCount","UsedInApp","UsageCount","UsageFiles"
"tema_lito_gl_matriz","Lito_Gl_Matriz","tema_lito_gl_matrizs","UserOwned","19","False","0",""
"tema_litoglcampanaejecucion","Lito-Gl-Campaña-Ejecucion","tema_litoglcampanaejecucions","UserOwned","28","False","0",""
"tema_litoglcampanaproformaslaboratorio","Lito-GL-Campaña-Proformas-Laboratorio","tema_litoglcampanaproformaslaboratorios","UserOwned","28","False","0",""
"tema_litoglcampanarecepcionmuestra","Lito-GL-Campaña-Recepcion-Muestra","tema_litoglcampanarecepcionmuestras","UserOwned","25","False","0",""
"tema_litoglcampanaresultadosanaliticos","Lito-GL-Campaña-Resultado-Analitico","tema_litoglcampanaresultadosanaliticoses","UserOwned","24","False","0",""
"tema_litoglcampanavalidacionanalitico","Lito-GL-Campaña-Validacion-Analitico","tema_litoglcampanavalidacionanaliticos","UserOwned","25","False","0",""
"tema_litoglclientes","Lito-Gl-Clientes","tema_litoglclienteses","UserOwned","29","False","0",""
"tema_litogldocumentoadjuntos","Lito-Gl-Documento-Adjuntos","tema_litogldocumentoadjuntoses","UserOwned","23","False","0",""
"tema_litogletaparesponsable","Lito-Gl-Etapa-Responsable","tema_litogletaparesponsables","UserOwned","21","False","0",""
"tema_litoglperfilesusuario","Lito-Gl-Perfiles-Usuario","tema_litoglperfilesusuarios","UserOwned","24","False","0",""
"tema_litogltipodocumento","Lito-Gl-Tipo-Documento","tema_litogltipodocumentos","UserOwned","20","False","0",""
